"YTS ID","IMDb ID","Movie Title","Year","Language","Rating","Quality","YTS URL","IMDb URL","Torrent URL"
"49340","tt26545350","Willow: Behind the Magic","2023","en","6.7","2160p","https://yts.mx/movies/willow-behind-the-magic-2023","https://www.imdb.com/title/tt26545350","https://yts.mx/torrent/download/23718E25C89B58965060CD8B1ED5BA54AEBB37FB"
"49326","tt26008888","A Whole Lifetime with Jamie Demetriou","2023","en","6.1","2160p","https://yts.mx/movies/a-whole-lifetime-with-jamie-demetriou-2023","https://www.imdb.com/title/tt26008888","https://yts.mx/torrent/download/151480194B1821563F91E8AD19B05383C90BB020"
"49324","tt16280138","Magic Mike's Last Dance","2023","en","5.2","2160p","https://yts.mx/movies/magic-mikes-last-dance-2023","https://www.imdb.com/title/tt16280138","https://yts.mx/torrent/download/1F7DC758269E63A0179ADD13F56532F41293FED7"
"49322","tt7405458","A Man Called Otto","2022","en","7.5","2160p","https://yts.mx/movies/a-man-called-otto-2022","https://www.imdb.com/title/tt7405458","https://yts.mx/torrent/download/55247752365AC8780CC2BC0D3B61A5B43203A77C"
"49275","tt26685153","The Weeknd: Live at SoFi Stadium","2023","en","7.9","2160p","https://yts.mx/movies/the-weeknd-live-at-sofi-stadium-2023","https://www.imdb.com/title/tt26685153","https://yts.mx/torrent/download/CA9FABAB94130D2509685288D2BCEE5E83E6CEAF"
"49228","tt7798604","We Have a Ghost","2023","en","6.1","2160p","https://yts.mx/movies/we-have-a-ghost-2023","https://www.imdb.com/title/tt7798604","https://yts.mx/torrent/download/7C44753DD3A2700C9186FD4EFC831C31EEFA62AD"
"49226","tt21833464","Bruiser","2022","en","6.2","2160p","https://yts.mx/movies/bruiser-2022","https://www.imdb.com/title/tt21833464","https://yts.mx/torrent/download/8DBBECE908898F56E2199F789F046A158AFA0A5A"
"49225","tt26198528","Die Hart","2020","en","5.3","2160p","https://yts.mx/movies/die-hart-2020","https://www.imdb.com/title/tt26198528","https://yts.mx/torrent/download/E6169C18337E0049A6FF960AAAA3963D321F2BBB"
"49214","tt21825858","Call Me Chihiro","2023","ja","6.9","2160p","https://yts.mx/movies/call-me-chihiro-2023","https://www.imdb.com/title/tt21825858","https://yts.mx/torrent/download/23A49444058F4EA03FCED46F283386A4BD5B5B63"
"49195","tt16437278","The Strays","2023","en","4.9","2160p","https://yts.mx/movies/the-strays-2023","https://www.imdb.com/title/tt16437278","https://yts.mx/torrent/download/FE7EA006AD6C5B7D46607D782AAFFC74AD4A84DF"
"49161","tt13669038","Women Talking","2022","en","6.9","2160p","https://yts.mx/movies/women-talking-2022","https://www.imdb.com/title/tt13669038","https://yts.mx/torrent/download/1468EC28E426D7376D3EB27A18DBDD2AA65A9268"
"49160","tt15679400","Knock at the Cabin","2023","en","6.1","2160p","https://yts.mx/movies/knock-at-the-cabin-2023","https://www.imdb.com/title/tt15679400","https://yts.mx/torrent/download/F8ADD93A42D2CBDAFA14694A22302B00874AA581"
"49159","tt13833688","The Whale","2022","en","7.6","2160p","https://yts.mx/movies/the-whale-2022","https://www.imdb.com/title/tt13833688","https://yts.mx/torrent/download/B3A6795EDCF16781F53CE00A0FF516B1DB485588"
"49055","tt18228142","The Weapon","2023","en","2.6","2160p","https://yts.mx/movies/the-weapon-2023","https://www.imdb.com/title/tt18228142","https://yts.mx/torrent/download/D5236CCF65C782FAFB7D9D5CB97934C0E4E7E656"
"49032","tt26597278","Josh Johnson: Up Here Killing Myself","2023","en","7.2","2160p","https://yts.mx/movies/josh-johnson-up-here-killing-myself-2023","https://www.imdb.com/title/tt26597278","https://yts.mx/torrent/download/9A1861F885705186A15D27033D3A6725D0EC1AB9"
"49030","tt26425683","j-hope IN THE BOX","2023","ko","8.4","2160p","https://yts.mx/movies/j-hope-in-the-box-2023","https://www.imdb.com/title/tt26425683","https://yts.mx/torrent/download/F793A5D661D50381EA3ADA2C87302AEECE4D4222"
"49028","tt12573454","Sharper","2023","en","6.7","2160p","https://yts.mx/movies/sharper-2023","https://www.imdb.com/title/tt12573454","https://yts.mx/torrent/download/E937593D913E152ECCBB48C162778238A5571310"
"49026","tt15128358","Prison 77","2022","es","6.9","2160p","https://yts.mx/movies/prison-77-2022","https://www.imdb.com/title/tt15128358","https://yts.mx/torrent/download/C801C95399614CAEFA9A4278926D0026D1731AA6"
"49013","tt13495458","The Inspection","2022","en","6.7","2160p","https://yts.mx/movies/the-inspection-2022","https://www.imdb.com/title/tt13495458","https://yts.mx/torrent/download/D01015489D812305B5DB332A0B91F08C749772C0"
"48980","tt25830860","A Sunday Affair","2023","en","4.5","2160p","https://yts.mx/movies/a-sunday-affair-2023","https://www.imdb.com/title/tt25830860","https://yts.mx/torrent/download/C750D4D2A671F66FC13601E31E07BBA12D77A140"
"48978","tt12616964","All the Places","2023","es","5.6","2160p","https://yts.mx/movies/all-the-places-2023","https://www.imdb.com/title/tt12616964","https://yts.mx/torrent/download/E317D9B8B3E82B74D8A99598FB7679ECA04B3839"
"48977","tt23648010","Jim Jefferies: High n' Dry","2023","en","7.1","2160p","https://yts.mx/movies/jim-jefferies-high-n-dry-2023","https://www.imdb.com/title/tt23648010","https://yts.mx/torrent/download/5458D117D8E4893811D3DA8261507EF7E565C09F"
"48976","tt10365998","Infinity Pool","2023","en","6","2160p","https://yts.mx/movies/infinity-pool-2023","https://www.imdb.com/title/tt10365998","https://yts.mx/torrent/download/A30D6FE3654DAC3D07160455E5A2390DDE82724A"
"48935","tt26369131","Squared Love All Over Again","2023","pl","4.6","2160p","https://yts.mx/movies/squared-love-all-over-again-2023","https://www.imdb.com/title/tt26369131","https://yts.mx/torrent/download/B0CAAFEF844EDE5971D097AC41BD1C22BE4AA103"
"48879","tt12823454","Your Place or Mine","2023","en","5.7","2160p","https://yts.mx/movies/your-place-or-mine-2023","https://www.imdb.com/title/tt12823454","https://yts.mx/torrent/download/C72DBE600A69E91CCCB3C71782437DE1991CF6DF"
"48874","tt15333984","Somebody I Used to Know","2023","en","5.7","2160p","https://yts.mx/movies/somebody-i-used-to-know-2023","https://www.imdb.com/title/tt15333984","https://yts.mx/torrent/download/2B4EAB53831D8287610ADB83D748B3C459487E0E"
"48867","tt21986198","Dear David","2023","id","5.7","2160p","https://yts.mx/movies/dear-david-2023","https://www.imdb.com/title/tt21986198","https://yts.mx/torrent/download/6A28934A2916F2DC87904CCE8C8EF6CB6EB5933E"
"48866","tt26340263","Dr Jason Leong: Ride with Caution","2023","en","5.9","2160p","https://yts.mx/movies/dr-jason-leong-ride-with-caution-2023","https://www.imdb.com/title/tt26340263","https://yts.mx/torrent/download/829AC8300016A098AD71FB20555F28B3843684F7"
"48829","tt14402146","Empire of Light","2022","en","6.7","2160p","https://yts.mx/movies/empire-of-light-2022","https://www.imdb.com/title/tt14402146","https://yts.mx/torrent/download/53D0DDBEA57BB042FBD6134688637704DFDA8F65"
"48828","tt12193804","Whitney Houston: I Wanna Dance with Somebody","2022","en","6.6","2160p","https://yts.mx/movies/whitney-houston-i-wanna-dance-with-somebody-2022","https://www.imdb.com/title/tt12193804","https://yts.mx/torrent/download/021CAC1A45657BBB3363466988AF23F597F579D8"
"48788","tt13614388","Little Dixie","2023","en","4.9","2160p","https://yts.mx/movies/little-dixie-2023","https://www.imdb.com/title/tt13614388","https://yts.mx/torrent/download/65F32293D735C0E36A2C99A7AA8398C27B1C1C67"
